element,name,target_gw,target_minutes,target_points
1,David Raya Martín,6,90,2.0
1,David Raya Martín,7,90,6.0
1,David Raya Martín,8,90,6.0
1,David Raya Martín,9,90,6.0
1,David Raya Martín,10,90,6.0
1,David Raya Martín,11,90,1.0
1,David Raya Martín,12,90,2.0
1,David Raya Martín,13,90,3.0
1,David Raya Martín,14,90,6.0
1,David Raya Martín,15,90,2.0
1,David Raya Martín,16,90,2.0
1,David Raya Martín,17,90,7.0
1,David Raya Martín,18,90,2.0
1,David Raya Martín,19,90,2.0
1,David Raya Martín,20,90,1.0
1,David Raya Martín,21,90,6.0
1,David Raya Martín,22,90,6.0
1,David Raya Martín,23,90,1.0
1,David Raya Martín,24,90,6.0
1,David Raya Martín,25,90,7.0
1,David Raya Martín,26,180,3.0
1,David Raya Martín,27,90,3.0
1,David Raya Martín,28,90,3.0
1,David Raya Martín,29,90,7.0
5,Gabriel dos Santos Magalhães,6,90,13.0
5,Gabriel dos Santos Magalhães,7,90,9.0
5,Gabriel dos Santos Magalhães,8,90,12.0
5,Gabriel dos Santos Magalhães,9,90,9.0
5,Gabriel dos Santos Magalhães,10,90,12.0
5,Gabriel dos Santos Magalhães,11,90,1.0
5,Gabriel dos Santos Magalhães,18,19,1.0
5,Gabriel dos Santos Magalhães,19,76,15.0
5,Gabriel dos Santos Magalhães,20,90,9.0
5,Gabriel dos Santos Magalhães,21,90,6.0
5,Gabriel dos Santos Magalhães,22,90,8.0
5,Gabriel dos Santos Magalhães,23,90,1.0
5,Gabriel dos Santos Magalhães,24,90,8.0
5,Gabriel dos Santos Magalhães,25,90,6.0
5,Gabriel dos Santos Magalhães,26,180,7.0
5,Gabriel dos Santos Magalhães,27,90,2.0
5,Gabriel dos Santos Magalhães,28,90,9.0
5,Gabriel dos Santos Magalhães,29,90,11.0
6,William Saliba,6,45,1.0
6,William Saliba,7,90,6.0
6,William Saliba,8,90,6.0
6,William Saliba,9,45,1.0
6,William Saliba,10,90,6.0
6,William Saliba,11,90,1.0
6,William Saliba,12,90,2.0
6,William Saliba,16,90,2.0
6,William Saliba,17,90,6.0
6,William Saliba,18,90,2.0
6,William Saliba,19,90,2.0
6,William Saliba,20,90,1.0
6,William Saliba,21,90,7.0
6,William Saliba,22,90,8.0
6,William Saliba,23,90,1.0
6,William Saliba,24,90,6.0
6,William Saliba,25,90,7.0
6,William Saliba,26,90,1.0
6,William Saliba,27,90,2.0
6,William Saliba,28,90,10.0
7,Riccardo Calafiori,6,69,1.0
7,Riccardo Calafiori,7,74,6.0
7,Riccardo Calafiori,8,90,6.0
7,Riccardo Calafiori,9,81,6.0
7,Riccardo Calafiori,10,71,6.0
7,Riccardo Calafiori,11,90,1.0
7,Riccardo Calafiori,12,90,2.0
7,Riccardo Calafiori,13,45,0.0
7,Riccardo Calafiori,14,90,7.0
7,Riccardo Calafiori,15,85,1.0
7,Riccardo Calafiori,17,90,6.0
7,Riccardo Calafiori,24,15,1.0
7,Riccardo Calafiori,25,66,6.0
7,Riccardo Calafiori,26,10,2.0
7,Riccardo Calafiori,29,26,1.0
8,Jurriën Timber,6,90,2.0
8,Jurriën Timber,7,90,11.0
8,Jurriën Timber,8,90,6.0
8,Jurriën Timber,9,90,6.0
8,Jurriën Timber,10,90,6.0
8,Jurriën Timber,11,90,1.0
8,Jurriën Timber,12,90,5.0
8,Jurriën Timber,13,90,2.0
8,Jurriën Timber,14,46,1.0
8,Jurriën Timber,15,90,3.0
8,Jurriën Timber,16,90,2.0
8,Jurriën Timber,17,90,6.0
8,Jurriën Timber,19,82,9.0
8,Jurriën Timber,20,90,3.0
8,Jurriën Timber,21,90,6.0
8,Jurriën Timber,22,90,5.0
8,Jurriën Timber,23,90,1.0
8,Jurriën Timber,24,90,5.0
8,Jurriën Timber,25,90,6.0
8,Jurriën Timber,26,180,3.0
8,Jurriën Timber,27,56,3.0
8,Jurriën Timber,28,90,8.0
8,Jurriën Timber,29,90,13.0
10,Myles Lewis-Skelly,6,2,1.0
10,Myles Lewis-Skelly,7,15,1.0
10,Myles Lewis-Skelly,9,2,1.0
10,Myles Lewis-Skelly,10,1,1.0
10,Myles Lewis-Skelly,12,1,1.0
10,Myles Lewis-Skelly,13,45,0.0
10,Myles Lewis-Skelly,15,4,1.0
10,Myles Lewis-Skelly,16,59,1.0
10,Myles Lewis-Skelly,18,70,1.0
10,Myles Lewis-Skelly,19,13,1.0
10,Myles Lewis-Skelly,21,33,1.0
11,Benjamin White,14,90,14.0
11,Benjamin White,15,90,1.0
11,Benjamin White,16,30,1.0
11,Benjamin White,19,7,1.0
11,Benjamin White,22,90,6.0
11,Benjamin White,23,32,1.0
12,Oleksandr Zinchenko,6,90,2.0
12,Oleksandr Zinchenko,8,73,1.0
12,Oleksandr Zinchenko,17,9,1.0
12,Oleksandr Zinchenko,19,90,1.0
16,Bukayo Saka,6,69,2.0
16,Bukayo Saka,7,90,8.0
16,Bukayo Saka,8,90,7.0
16,Bukayo Saka,9,65,3.0
16,Bukayo Saka,10,90,3.0
16,Bukayo Saka,11,90,12.0
16,Bukayo Saka,12,90,4.0
16,Bukayo Saka,13,90,5.0
16,Bukayo Saka,14,29,6.0
16,Bukayo Saka,15,78,4.0
16,Bukayo Saka,16,90,11.0
16,Bukayo Saka,17,90,3.0
16,Bukayo Saka,18,90,7.0
16,Bukayo Saka,19,82,6.0
16,Bukayo Saka,20,23,4.0
16,Bukayo Saka,21,77,3.0
16,Bukayo Saka,22,33,1.0
16,Bukayo Saka,23,90,2.0
16,Bukayo Saka,26,92,13.0
16,Bukayo Saka,27,90,5.0
16,Bukayo Saka,28,90,2.0
16,Bukayo Saka,29,90,9.0
17,Martin Ødegaard,6,8,4.0
17,Martin Ødegaard,7,29,1.0
17,Martin Ødegaard,13,33,1.0
17,Martin Ødegaard,14,90,3.0
17,Martin Ødegaard,15,90,2.0
17,Martin Ødegaard,16,33,1.0
17,Martin Ødegaard,17,87,3.0
17,Martin Ødegaard,18,90,10.0
17,Martin Ødegaard,19,90,5.0
17,Martin Ødegaard,20,79,7.0
17,Martin Ødegaard,21,77,3.0
17,Martin Ødegaard,22,56,1.0
17,Martin Ødegaard,23,57,4.0
17,Martin Ødegaard,24,29,4.0
17,Martin Ødegaard,26,45,1.0
17,Martin Ødegaard,27,13,4.0
18,Noni Madueke,12,12,1.0
18,Noni Madueke,13,33,1.0
18,Noni Madueke,14,60,3.0
18,Noni Madueke,15,11,1.0
18,Noni Madueke,19,7,1.0
18,Noni Madueke,20,66,2.0
18,Noni Madueke,21,12,1.0
18,Noni Madueke,22,56,1.0
18,Noni Madueke,23,15,1.0
18,Noni Madueke,24,60,14.0
18,Noni Madueke,25,59,1.0
18,Noni Madueke,26,133,13.0
18,Noni Madueke,27,1,1.0
19,Gabriel Martinelli Silva,6,20,1.0
19,Gabriel Martinelli Silva,7,11,1.0
19,Gabriel Martinelli Silva,8,9,1.0
19,Gabriel Martinelli Silva,9,24,1.0
19,Gabriel Martinelli Silva,13,56,1.0
19,Gabriel Martinelli Silva,14,60,3.0
19,Gabriel Martinelli Silva,15,4,1.0
19,Gabriel Martinelli Silva,16,56,1.0
19,Gabriel Martinelli Silva,17,10,0.0
19,Gabriel Martinelli Silva,18,8,1.0
19,Gabriel Martinelli Silva,20,66,5.0
19,Gabriel Martinelli Silva,21,26,0.0
19,Gabriel Martinelli Silva,22,45,1.0
19,Gabriel Martinelli Silva,24,29,4.0
19,Gabriel Martinelli Silva,25,30,4.0
19,Gabriel Martinelli Silva,26,99,3.0
19,Gabriel Martinelli Silva,27,14,1.0
19,Gabriel Martinelli Silva,28,34,1.0
19,Gabriel Martinelli Silva,29,59,1.0
20,Leandro Trossard,6,87,2.0
20,Leandro Trossard,7,74,3.0
20,Leandro Trossard,8,80,10.0
20,Leandro Trossard,9,90,3.0
20,Leandro Trossard,10,90,6.0
20,Leandro Trossard,11,90,9.0
